date,title_neg,title_neu,title_pos,title_compound,content_neg,content_neu,content_pos,content_compound,comments_neg,comments_neu,comments_pos,comments_compound
2022-01-22,0.0276,0.9724,0.0,-0.03062000000000001,0.0376,0.905,0.0576,0.51138,0.03160000000000002,0.4884,0.48,-0.053260000000000085
2022-01-23,0.0184,0.9816,0.0,-0.02041333333333334,0.036066666666666664,0.909,0.05506666666666667,0.4748866666666666,0.021066666666666678,0.45893333333333336,0.52,0.007159999999999944
2022-01-24,0.009199999999999986,0.9908,0.0,-0.01020666666666667,0.03453333333333333,0.913,0.052533333333333335,0.4383933333333333,0.010533333333333339,0.4294666666666667,0.5599999999999999,0.06757999999999997
2022-01-25,0.0,1.0,0.0,0.0,0.033,0.917,0.05,0.4019,0.0,0.4,0.6,0.128
2022-01-26,0.0,1.0,0.0,0.0,0.051500000000000004,0.8835,0.065,0.62565,0.0635,0.6005,0.33599999999999997,-0.38425
2022-01-27,0.0,1.0,0.0,0.0,0.07,0.85,0.08,0.8494,0.127,0.801,0.072,-0.8965
2022-01-28,0.0,1.0,0.0,0.0,0.07500000000000001,0.8483999999999999,0.0766,0.5192000000000001,0.1016,0.7824,0.11599999999999999,-0.52444
2022-01-29,0.0,1.0,0.0,0.0,0.08,0.8468,0.0732,0.18900000000000006,0.07619999999999999,0.7638,0.15999999999999998,-0.15237999999999996
2022-01-30,0.0,1.0,0.0,0.0,0.085,0.8452,0.0698,-0.14119999999999988,0.0508,0.7452,0.20399999999999996,0.21968
2022-01-31,0.0,1.0,0.0,0.0,0.09,0.8436,0.0664,-0.47139999999999993,0.025399999999999992,0.7266,0.24799999999999994,0.59174
2022-02-01,0.0,1.0,0.0,0.0,0.095,0.842,0.063,-0.8016,0.0,0.708,0.292,0.9638
2022-02-02,0.0,1.0,0.0,0.0,0.0675,0.8825,0.0505,-0.43939999999999996,0.0,0.354,0.146,0.4819
2022-02-03,0.0,1.0,0.0,0.0,0.04,0.923,0.038,-0.0772,0.0,0.0,0.0,0.0
2022-02-04,0.0,0.9693333333333334,0.030666666666666665,0.07443333333333334,0.043166666666666666,0.9076666666666667,0.050166666666666665,0.07326666666666666,0.0,0.0,0.0,0.0
2022-02-05,0.0,0.9386666666666666,0.06133333333333333,0.14886666666666667,0.04633333333333333,0.8923333333333333,0.06233333333333334,0.22373333333333334,0.0,0.0,0.0,0.0
2022-02-06,0.0,0.9079999999999999,0.092,0.2233,0.0495,0.877,0.07450000000000001,0.37420000000000003,0.0,0.0,0.0,0.0
2022-02-07,0.0,0.8773333333333333,0.12266666666666666,0.29773333333333335,0.05266666666666667,0.8616666666666667,0.08666666666666667,0.5246666666666666,0.0,0.0,0.0,0.0
2022-02-08,0.0,0.8466666666666667,0.15333333333333332,0.3721666666666667,0.05583333333333333,0.8463333333333333,0.09883333333333334,0.6751333333333333,0.0,0.0,0.0,0.0
2022-02-09,0.0,0.816,0.184,0.4466,0.059,0.831,0.111,0.8256,0.0,0.0,0.0,0.0
2022-02-10,0.0,0.742,0.258,0.4824,0.0,0.87,0.13,0.872,0.0,0.0,0.0,0.0
2022-02-11,0.0027962962962962963,0.7439814814814815,0.25322222222222224,0.4706314814814815,0.0010740740740740743,0.8702962962962963,0.12864814814814815,0.8685203703703703,0.0,0.013870370370370371,0.004648148148148149,0.01467962962962963
2022-02-12,0.005592592592592593,0.7459629629629629,0.24844444444444444,0.458862962962963,0.0021481481481481486,0.8705925925925926,0.1272962962962963,0.8650407407407408,0.0,0.027740740740740743,0.009296296296296297,0.02935925925925926
2022-02-13,0.008388888888888888,0.7479444444444444,0.24366666666666667,0.44709444444444446,0.0032222222222222227,0.8708888888888889,0.12594444444444444,0.8615611111111111,0.0,0.04161111111111111,0.013944444444444445,0.044038888888888884
2022-02-14,0.011185185185185185,0.7499259259259259,0.2388888888888889,0.43532592592592595,0.004296296296296297,0.8711851851851852,0.1245925925925926,0.8580814814814814,0.0,0.055481481481481486,0.018592592592592595,0.05871851851851852
2022-02-15,0.01398148148148148,0.7519074074074074,0.2341111111111111,0.42355740740740744,0.005370370370370371,0.8714814814814815,0.12324074074074075,0.8546018518518519,0.0,0.06935185185185186,0.023240740740740742,0.07339814814814814
2022-02-16,0.016777777777777777,0.7538888888888888,0.22933333333333333,0.41178888888888887,0.006444444444444445,0.8717777777777778,0.1218888888888889,0.8511222222222222,0.0,0.08322222222222223,0.02788888888888889,0.08807777777777777
2022-02-17,0.019574074074074074,0.7558703703703704,0.22455555555555556,0.40002037037037036,0.007518518518518519,0.8720740740740741,0.12053703703703704,0.8476425925925926,0.0,0.09709259259259259,0.03253703703703704,0.10275740740740741
2022-02-18,0.02237037037037037,0.7578518518518519,0.2197777777777778,0.38825185185185185,0.008592592592592594,0.8723703703703704,0.11918518518518519,0.844162962962963,0.0,0.11096296296296297,0.03718518518518519,0.11743703703703703
2022-02-19,0.025166666666666664,0.7598333333333334,0.215,0.37648333333333334,0.009666666666666667,0.8726666666666667,0.11783333333333333,0.8406833333333333,0.0,0.12483333333333334,0.041833333333333333,0.13211666666666666
2022-02-20,0.02796296296296296,0.7618148148148148,0.21022222222222223,0.3647148148148148,0.010740740740740742,0.8729629629629629,0.11648148148148149,0.8372037037037037,0.0,0.13870370370370372,0.046481481481481485,0.14679629629629629
2022-02-21,0.030759259259259257,0.7637962962962963,0.20544444444444446,0.3529462962962963,0.011814814814814816,0.8732592592592593,0.11512962962962964,0.8337240740740741,0.0,0.15257407407407408,0.05112962962962963,0.1614759259259259
2022-02-22,0.033555555555555554,0.7657777777777778,0.20066666666666666,0.3411777777777778,0.01288888888888889,0.8735555555555555,0.11377777777777778,0.8302444444444445,0.0,0.16644444444444445,0.05577777777777778,0.17615555555555554
2022-02-23,0.03635185185185185,0.7677592592592593,0.1958888888888889,0.3294092592592593,0.013962962962962965,0.8738518518518519,0.11242592592592593,0.8267648148148148,0.0,0.18031481481481482,0.060425925925925925,0.1908351851851852
2022-02-24,0.03914814814814815,0.7697407407407407,0.19111111111111112,0.3176407407407408,0.015037037037037038,0.8741481481481481,0.11107407407407408,0.8232851851851852,0.0,0.19418518518518518,0.06507407407407408,0.20551481481481482
2022-02-25,0.041944444444444444,0.7717222222222222,0.18633333333333335,0.3058722222222222,0.016111111111111114,0.8744444444444445,0.10972222222222222,0.8198055555555556,0.0,0.20805555555555555,0.06972222222222223,0.22019444444444444
2022-02-26,0.04474074074074074,0.7737037037037037,0.18155555555555558,0.29410370370370376,0.01718518518518519,0.8747407407407407,0.10837037037037037,0.8163259259259259,0.0,0.22192592592592594,0.07437037037037038,0.23487407407407407
2022-02-27,0.04753703703703704,0.7756851851851851,0.17677777777777778,0.2823351851851852,0.01825925925925926,0.8750370370370371,0.10701851851851851,0.8128462962962963,0.0,0.2357962962962963,0.07901851851851852,0.2495537037037037
2022-02-28,0.05033333333333333,0.7776666666666666,0.172,0.27056666666666673,0.019333333333333334,0.8753333333333333,0.10566666666666667,0.8093666666666667,0.0,0.24966666666666668,0.08366666666666667,0.2642333333333333
2022-03-01,0.053129629629629624,0.7796481481481481,0.16722222222222222,0.25879814814814817,0.02040740740740741,0.8756296296296296,0.10431481481481482,0.805887037037037,0.0,0.26353703703703707,0.08831481481481482,0.278912962962963
2022-03-02,0.05592592592592592,0.7816296296296297,0.16244444444444445,0.24702962962962965,0.021481481481481483,0.8759259259259259,0.10296296296296296,0.8024074074074075,0.0,0.27740740740740744,0.09296296296296297,0.29359259259259257
